locus_tag	ftype	length_bp	gene	EC_number	COG	product
CAPPHCFD_00030	CDS	693	torR		COG0745	TorCAD operon transcriptional regulatory protein TorR
CAPPHCFD_00031	CDS	1029	torT		COG1879	Periplasmic protein TorT
CAPPHCFD_00032	CDS	2700	torS	2.7.13.3	COG0784	Sensor protein TorS
CAPPHCFD_00033	CDS	1074	yccM		COG0348	Putative electron transport protein YccM
CAPPHCFD_00034	CDS	174	gnsA_1			Protein GnsA
CAPPHCFD_00035	CDS	213	cspG		COG1278	Cold shock-like protein CspG
CAPPHCFD_00036	CDS	306	gfcA			Threonine-rich inner membrane protein GfcA
CAPPHCFD_00037	CDS	645	gfcB_1			putative lipoprotein GfcB
CAPPHCFD_00038	CDS	747				hypothetical protein
CAPPHCFD_00039	CDS	2097				hypothetical protein
CAPPHCFD_00040	CDS	1161	wza_1		COG1596	Putative polysaccharide export protein Wza
CAPPHCFD_00041	CDS	447	etp	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase Etp
CAPPHCFD_00042	CDS	2181	etk	2.7.10.-	COG0489	Tyrosine-protein kinase etk
CAPPHCFD_00043	CDS	1299	appA	3.1.3.-		Phytase AppA
CAPPHCFD_00044	CDS	93	appX			Putative cytochrome bd-II ubiquinol oxidase subunit AppX
CAPPHCFD_00045	CDS	1137	appB	7.1.1.3	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
CAPPHCFD_00046	CDS	1545	appC	7.1.1.3	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
CAPPHCFD_00047	CDS	858				hypothetical protein
CAPPHCFD_00048	CDS	399	hyaE		COG1999	Hydrogenase-1 operon protein HyaE
CAPPHCFD_00049	CDS	588	hyaD	3.4.23.-	COG0680	Hydrogenase 1 maturation protease
CAPPHCFD_00050	CDS	708	hyaC		COG1969	putative Ni/Fe-hydrogenase 1 B-type cytochrome subunit
CAPPHCFD_00051	CDS	1794	hyaB	1.12.99.6	COG0374	Hydrogenase-1 large chain
CAPPHCFD_00052	CDS	1119	hyaA	1.12.99.6	COG1740	Hydrogenase-1 small chain
CAPPHCFD_00053	tRNA	88				tRNA-Ser(tga)
CAPPHCFD_00054	CDS	660	yccA		COG0670	Modulator of FtsH protease YccA
CAPPHCFD_00055	CDS	330	tusE	2.8.1.-	COG2920	Sulfurtransferase TusE
CAPPHCFD_00056	CDS	279	yccX	3.6.1.7	COG1254	Acylphosphatase
CAPPHCFD_00057	CDS	1176	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
CAPPHCFD_00058	CDS	318	hspQ		COG3785	Heat shock protein HspQ
CAPPHCFD_00059	CDS	414	yccU		COG1832	putative protein YccU
CAPPHCFD_00060	CDS	663				hypothetical protein
CAPPHCFD_00061	CDS	459	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
CAPPHCFD_00062	CDS	2055	helD	5.6.2.4	COG0210	DNA helicase IV
CAPPHCFD_00063	CDS	447	yccF		COG3304	Inner membrane protein YccF
CAPPHCFD_00064	CDS	2163	yccS		COG1289	Inner membrane protein YccS
CAPPHCFD_00065	CDS	630	sxy		COG3070	Protein Sxy
CAPPHCFD_00066	CDS	510	sulA		COG5404	Cell division inhibitor SulA
CAPPHCFD_00067	CDS	1041	ompA		COG2885	Outer membrane protein A
CAPPHCFD_00068	CDS	453	matP		COG3120	Macrodomain Ter protein
CAPPHCFD_00069	CDS	1761				hypothetical protein
CAPPHCFD_00070	CDS	627	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
CAPPHCFD_00071	CDS	168	rmf		COG3130	Ribosome modulation factor
CAPPHCFD_00072	CDS	564	pqiC		COG3009	Intermembrane transport lipoprotein PqiC
CAPPHCFD_00073	CDS	1641	pqiB		COG1463	Intermembrane transport protein PqiB
CAPPHCFD_00074	CDS	1254	pqiA		COG2995	Intermembrane transport protein PqiA
CAPPHCFD_00075	CDS	1908	uup	3.6.1.-	COG0488	ATP-binding protein Uup
CAPPHCFD_00076	CDS	2109	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
CAPPHCFD_00077	CDS	1110	ycbX		COG0633	putative protein YcbX
CAPPHCFD_00078	CDS	543	zapC			Cell division protein ZapC
CAPPHCFD_00079	CDS	1011	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
CAPPHCFD_00080	CDS	690	ycbF		COG3121	putative fimbrial chaperone YcbF
CAPPHCFD_00081	CDS	564	ycbV		COG3539	putative fimbrial-like protein YcbV
CAPPHCFD_00082	CDS	543	ycbU		COG3539	putative fimbrial-like protein YcbU
CAPPHCFD_00083	CDS	1071	elfG		COG3539	putative fimbrial-like protein ElfG
CAPPHCFD_00084	CDS	2601	elfC		COG3188	putative outer membrane usher protein ElfC
CAPPHCFD_00085	CDS	702	elfD		COG3121	putative fimbrial chaperone protein ElfD
CAPPHCFD_00086	CDS	540	elfA		COG3539	Fimbrial subunit ElfA
CAPPHCFD_00087	CDS	576	ssuE	1.5.1.38	COG0431	FMN reductase (NADPH)
CAPPHCFD_00088	CDS	960	ssuA		COG0715	Putative aliphatic sulfonates-binding protein
CAPPHCFD_00089	CDS	1146	ssuD	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
CAPPHCFD_00090	CDS	792	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
CAPPHCFD_00091	CDS	768	ssuB	7.6.2.14	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
CAPPHCFD_00092	CDS	2613	pepN	3.4.11.2	COG0308	Aminopeptidase N
CAPPHCFD_00093	CDS	1203	pncB	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase
CAPPHCFD_00094	CDS	1401	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
CAPPHCFD_00095	CDS	1089	ompF		COG3203	Outer membrane porin F
CAPPHCFD_00096	CDS	1191	aspC	2.6.1.1	COG1448	Aspartate aminotransferase
CAPPHCFD_00097	CDS	648	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
CAPPHCFD_00098	CDS	549	mepK	3.4.-.-	COG3108	Peptidoglycan L,D-endopeptidase MepK
CAPPHCFD_00099	CDS	1848	ycbB	2.-.-.-	COG2989	putative L,D-transpeptidase YcbB
CAPPHCFD_00100	CDS	4461	mukB		COG3096	Chromosome partition protein MukB
CAPPHCFD_00101	CDS	705	mukE		COG3095	Chromosome partition protein MukE
CAPPHCFD_00102	CDS	1323	mukF		COG3006	Chromosome partition protein MukF
CAPPHCFD_00103	CDS	786	cmoM	2.1.1.-	COG2227	tRNA 5-carboxymethoxyuridine methyltransferase
CAPPHCFD_00104	CDS	780				hypothetical protein
CAPPHCFD_00105	CDS	894				hypothetical protein
CAPPHCFD_00106	CDS	747	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
CAPPHCFD_00107	CDS	183				hypothetical protein
CAPPHCFD_00108	CDS	1233	ycaQ	3.2.2.-	COG3214	Interstrand DNA cross-link repair glycosylase
CAPPHCFD_00109	CDS	987	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
CAPPHCFD_00110	CDS	1749	msbA	7.5.2.6	COG1132	ATP-dependent lipid A-core flippase
CAPPHCFD_00111	CDS	2265				hypothetical protein
CAPPHCFD_00112	CDS	285	ihfB		COG0776	Integration host factor subunit beta
CAPPHCFD_00113	CDS	1674	rpsA		COG0539	Small ribosomal subunit protein bS1
CAPPHCFD_00114	CDS	684	cmk	2.7.4.25	COG0283	Cytidylate kinase
CAPPHCFD_00115	CDS	765	ycaL	3.4.-.-	COG0501	Metalloprotease YcaL
CAPPHCFD_00116	CDS	1284	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
CAPPHCFD_00117	CDS	1089	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
CAPPHCFD_00118	CDS	693				hypothetical protein
CAPPHCFD_00119	CDS	1761	ycaO		COG1944	Ribosomal protein S12 methylthiotransferase accessory factor YcaO
CAPPHCFD_00120	CDS	858	focA		COG2116	Formate channel FocA
CAPPHCFD_00121	CDS	2283	pflB	2.3.1.54	COG1882	Formate acetyltransferase 1
CAPPHCFD_00122	CDS	741	pflA	1.97.1.4	COG1180	Pyruvate formate-lyase 1-activating enzyme
CAPPHCFD_00123	CDS	591				hypothetical protein
CAPPHCFD_00124	CDS	909	pgrR_1		COG0583	HTH-type transcriptional regulator PgrR
CAPPHCFD_00125	CDS	1431	ycaM		COG0531	Inner membrane transporter YcaM
CAPPHCFD_00126	CDS	1149	ycaD		COG0477	putative MFS-type transporter YcaD
CAPPHCFD_00127	CDS	627	ycaC	4.-.-.-	COG1335	putative hydrolase YcaC
CAPPHCFD_00128	CDS	864	dmsC_1		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
CAPPHCFD_00129	CDS	618	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
CAPPHCFD_00130	CDS	2445	dmsA	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
CAPPHCFD_00131	CDS	1293	serS	6.1.1.11	COG0172	Serine--tRNA ligase
CAPPHCFD_00132	CDS	1344	rarA		COG2256	Replication-associated recombination protein A
CAPPHCFD_00133	CDS	612	lolA		COG2834	Outer-membrane lipoprotein carrier protein
CAPPHCFD_00134	CDS	4029	ftsK		COG1178	DNA translocase FtsK
CAPPHCFD_00135	CDS	495	lrp		COG1522	Leucine-responsive regulatory protein
CAPPHCFD_00136	CDS	966	trxB	1.8.1.9	COG0492	Thioredoxin reductase
CAPPHCFD_00137	CDS	1767	cydD	7.4.2.-	COG4988	Glutathione/L-cysteine transport system ATP-binding/permease protein CydD
CAPPHCFD_00138	CDS	1722	cydC	7.4.2.-	COG4987	Glutathione/L-cysteine transport system ATP-binding/permease protein CydC
CAPPHCFD_00139	CDS	705	aat	2.3.2.6	COG2360	Leucyl/phenylalanyl-tRNA--protein transferase
CAPPHCFD_00140	CDS	219	infA		COG0361	Translation initiation factor IF-1
CAPPHCFD_00141	tRNA	88				tRNA-Ser(gga)
CAPPHCFD_00142	CDS	2133	clpA		COG0542	ATP-dependent Clp protease ATP-binding subunit ClpA
CAPPHCFD_00143	CDS	321	clpS		COG2127	ATP-dependent Clp protease adapter protein ClpS
CAPPHCFD_00144	CDS	225	cspD		COG1278	Cold shock-like protein CspD
CAPPHCFD_00145	CDS	1947	macB	7.6.2.-	COG0577	Macrolide export ATP-binding/permease protein MacB
CAPPHCFD_00146	CDS	1116	macA		COG0845	Macrolide export protein MacA
CAPPHCFD_00147	CDS	993				hypothetical protein
CAPPHCFD_00148	CDS	1659				hypothetical protein
CAPPHCFD_00149	CDS	696	aqpZ		COG0580	Aquaporin Z
CAPPHCFD_00150	CDS	900	lysO		COG2431	Lysine exporter LysO
CAPPHCFD_00151	CDS	1653	hcp	1.7.99.1	COG1151	Hydroxylamine reductase
CAPPHCFD_00152	CDS	969	hcr	1.-.-.-	COG1018	NADH oxidoreductase HCR
CAPPHCFD_00153	CDS	1719	poxB	1.2.5.1	COG0028	Pyruvate dehydrogenase [ubiquinone]
CAPPHCFD_00154	CDS	1002	ltaE	4.1.2.48	COG2008	Low specificity L-threonine aldolase
CAPPHCFD_00155	CDS	1431				hypothetical protein
CAPPHCFD_00156	CDS	1014		1.1.1.51		3-beta-hydroxysteroid dehydrogenase
CAPPHCFD_00157	CDS	831	amiD	3.5.1.28	COG3023	N-acetylmuramoyl-L-alanine amidase AmiD
CAPPHCFD_00158	CDS	324				hypothetical protein
CAPPHCFD_00159	CDS	516	ybjP			putative lipoprotein YbjP
CAPPHCFD_00160	CDS	729	artP	7.4.2.1	COG1126	Arginine transport ATP-binding protein ArtP
CAPPHCFD_00161	CDS	732	artI		COG0834	Putative ABC transporter arginine-binding protein 2
CAPPHCFD_00162	CDS	717	artQ		COG4215	Arginine ABC transporter permease protein ArtQ
CAPPHCFD_00163	CDS	669	artM		COG4160	Arginine ABC transporter permease protein ArtM
CAPPHCFD_00164	CDS	732	artJ		COG0834	ABC transporter arginine-binding protein 1
CAPPHCFD_00165	CDS	1128	rlmC	2.1.1.189	COG2265	23S rRNA (uracil(747)-C(5))-methyltransferase RlmC
CAPPHCFD_00166	CDS	489	ybjO			Inner membrane protein YbjO
CAPPHCFD_00167	CDS	846	potI		COG1177	Putrescine transport system permease protein PotI
CAPPHCFD_00168	CDS	954	potH		COG1176	Putrescine transport system permease protein PotH
CAPPHCFD_00169	CDS	1134	potG	7.6.2.16	COG3842	Putrescine transport ATP-binding protein PotG
CAPPHCFD_00170	CDS	1113	potF		COG0687	Putrescine-binding periplasmic protein PotF
CAPPHCFD_00171	CDS	477	ybjN			putative protein YbjN
CAPPHCFD_00172	CDS	903	rimK	6.3.2.-	COG0189	Ribosomal protein bS6--L-glutamate ligase
CAPPHCFD_00173	CDS	723	nfsA	1.-.-.-	COG0778	Oxygen-insensitive NADPH nitroreductase
CAPPHCFD_00174	CDS	288				hypothetical protein
CAPPHCFD_00175	CDS	258	grxA		COG0695	Glutaredoxin 1
CAPPHCFD_00176	CDS	378	ybjM			Inner membrane protein YbjM
CAPPHCFD_00177	CDS	1686	aspT_1			Aspartate/alanine antiporter
CAPPHCFD_00178	CDS	219				hypothetical protein
CAPPHCFD_00179	CDS	369				hypothetical protein
CAPPHCFD_00180	CDS	276	hin			DNA-invertase hin
CAPPHCFD_00181	CDS	540				hypothetical protein
CAPPHCFD_00182	CDS	603	tfaE		COG2110	Prophage tail fiber assembly protein TfaE
CAPPHCFD_00183	CDS	438				hypothetical protein
CAPPHCFD_00184	CDS	1623				hypothetical protein
CAPPHCFD_00185	CDS	606				hypothetical protein
CAPPHCFD_00186	CDS	909				hypothetical protein
CAPPHCFD_00187	CDS	360				hypothetical protein
CAPPHCFD_00188	CDS	579				hypothetical protein
CAPPHCFD_00189	CDS	807				hypothetical protein
CAPPHCFD_00190	CDS	447				hypothetical protein
CAPPHCFD_00191	CDS	432				hypothetical protein
CAPPHCFD_00192	CDS	429				hypothetical protein
CAPPHCFD_00193	CDS	753				hypothetical protein
CAPPHCFD_00194	CDS	1767				hypothetical protein
CAPPHCFD_00195	CDS	1026				hypothetical protein
CAPPHCFD_00196	CDS	963	ret	2.7.7.49		Retron Ec86 reverse transcriptase
CAPPHCFD_00197	CDS	924				Retron Ec86 putative ribosyltransferase/DNA-binding protein
CAPPHCFD_00198	CDS	336				hypothetical protein
CAPPHCFD_00199	CDS	234				hypothetical protein
CAPPHCFD_00200	CDS	189				hypothetical protein
CAPPHCFD_00201	CDS	2415				hypothetical protein
CAPPHCFD_00202	CDS	858	dam_1	2.1.1.72	COG0338	DNA adenine methylase
CAPPHCFD_00203	CDS	228	ybiI_1		COG1734	putative protein YbiI
CAPPHCFD_00204	CDS	234				hypothetical protein
CAPPHCFD_00205	CDS	342				hypothetical protein
CAPPHCFD_00206	CDS	201				hypothetical protein
CAPPHCFD_00207	CDS	510				hypothetical protein
CAPPHCFD_00208	CDS	222				hypothetical protein
CAPPHCFD_00209	CDS	570				hypothetical protein
CAPPHCFD_00210	CDS	192				hypothetical protein
CAPPHCFD_00211	CDS	1017				hypothetical protein
CAPPHCFD_00212	CDS	333				hypothetical protein
CAPPHCFD_00213	CDS	537	rcdA		COG3226	HTH-type transcriptional regulator RcdA
CAPPHCFD_00214	CDS	1128	ybjJ		COG0738	Inner membrane protein YbjJ
CAPPHCFD_00215	CDS	816	ybjI	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YbjI
CAPPHCFD_00216	CDS	279				hypothetical protein
CAPPHCFD_00217	CDS	1233	mdfA		COG2814	Multidrug transporter MdfA
CAPPHCFD_00218	CDS	597	ybjG	3.6.1.27	COG0671	Putative undecaprenyl-diphosphatase YbjG
CAPPHCFD_00219	CDS	759	deoR		COG1349	Deoxyribose operon repressor
CAPPHCFD_00220	CDS	1203	dacC	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacC
CAPPHCFD_00221	CDS	627	gstB_1	2.5.1.18	COG0625	Glutathione S-transferase GstB
CAPPHCFD_00222	CDS	1116	yliI	1.1.5.-	COG2133	Aldose sugar dehydrogenase YliI
CAPPHCFD_00223	CDS	384				hypothetical protein
CAPPHCFD_00224	CDS	1326	rimO	2.8.4.4	COG0621	Ribosomal protein uS12 methylthiotransferase RimO
CAPPHCFD_00225	CDS	1329				hypothetical protein
CAPPHCFD_00226	CDS	2097	pdeI	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeI
CAPPHCFD_00227	CDS	912	gsiD		COG1173	Glutathione transport system permease protein GsiD
CAPPHCFD_00228	CDS	921	gsiC		COG0601	Glutathione transport system permease protein GsiC
CAPPHCFD_00229	CDS	1539	gsiB		COG0747	Glutathione-binding protein GsiB
CAPPHCFD_00230	CDS	1872	gsiA	7.4.2.10	COG4172	Glutathione import ATP-binding protein GsiA
CAPPHCFD_00231	CDS	966	iaaA	3.4.19.5	COG1446	Isoaspartyl peptidase
CAPPHCFD_00232	CDS	1236	moeA	2.10.1.1	COG0303	Molybdopterin molybdenumtransferase
CAPPHCFD_00233	CDS	750	moeB	2.7.7.80	COG0476	Molybdopterin-synthase adenylyltransferase
CAPPHCFD_00234	CDS	663	fsaA	4.1.2.-	COG0176	Fructose-6-phosphate aldolase 1
CAPPHCFD_00235	CDS	900	islB_1	1.97.1.-	COG1180	Isethionate sulfite-lyase activating enzyme
CAPPHCFD_00236	CDS	2433	ybiW	4.2.1.-	COG1882	putative dehydratase YbiW
CAPPHCFD_00237	CDS	816	ybiV	3.1.3.23	COG0561	Sugar phosphatase YbiV
CAPPHCFD_00238	CDS	1266	ybiU			putative protein YbiU
CAPPHCFD_00239	CDS	1593	ybiT		COG0488	putative ATP-binding protein YbiT
CAPPHCFD_00240	CDS	921	ybiS	2.-.-.-	COG1376	putative L,D-transpeptidase YbiS
CAPPHCFD_00241	CDS	1119	ybiR		COG1055	Inner membrane protein YbiR
CAPPHCFD_00242	CDS	468	mntR		COG1321	Transcriptional regulator MntR
CAPPHCFD_00243	CDS	129	mntS			Small protein MntS
CAPPHCFD_00244	CDS	1584	opgE_1	2.7.-.-	COG2194	Phosphoethanolamine transferase OpgE
CAPPHCFD_00245	CDS	516	ompX_1		COG3637	Outer membrane protein X
CAPPHCFD_00246	CDS	888	rhtA		COG5006	Threonine/homoserine exporter RhtA
CAPPHCFD_00247	CDS	504	dps	1.16.-.-	COG0783	DNA protection during starvation protein
CAPPHCFD_00248	CDS	747	glnH		COG0834	Glutamine-binding periplasmic protein
CAPPHCFD_00249	CDS	660	glnP		COG0765	Glutamine transport system permease protein GlnP
CAPPHCFD_00250	CDS	723	glnQ_1		COG1126	Glutamine transport ATP-binding protein GlnQ
CAPPHCFD_00251	CDS	2226	ybiO		COG0668	Moderate conductance mechanosensitive channel YbiO
CAPPHCFD_00252	CDS	927	rlmF	2.1.1.181	COG3129	Ribosomal RNA large subunit methyltransferase F
CAPPHCFD_00253	CDS	261	mcbA			putative protein McbA
CAPPHCFD_00254	CDS	2283	fiu		COG4774	Catecholate siderophore receptor Fiu
CAPPHCFD_00255	CDS	675		1.14.11.-		PKHD-type hydroxylase
CAPPHCFD_00256	CDS	267	ybiI_2		COG1734	putative protein YbiI
CAPPHCFD_00257	CDS	261	bhsA_1			Multiple stress resistance protein BhsA
CAPPHCFD_00258	CDS	1086	hcxB	1.1.1.-	COG2055	Hydroxycarboxylate dehydrogenase B
CAPPHCFD_00259	CDS	963	ybiB		COG0547	putative protein YbiB
CAPPHCFD_00260	CDS	2286	dinG	5.6.2.3	COG1199	ATP-dependent DNA helicase DinG
CAPPHCFD_00261	CDS	450	ybiA	3.2.2.-	COG3236	N-glycosidase YbiA
CAPPHCFD_00262	CDS	1365	rhlE	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
CAPPHCFD_00263	CDS	672	cecR		COG1309	HTH-type transcriptional dual regulator CecR
CAPPHCFD_00264	CDS	996				hypothetical protein
CAPPHCFD_00265	CDS	1737	ybhF		COG1131	putative multidrug ABC transporter ATP-binding protein YbhF
CAPPHCFD_00266	CDS	1134	ybhS		COG0842	putative multidrug ABC transporter permease YbhS
CAPPHCFD_00267	CDS	1107	ybhR		COG0842	putative multidrug ABC transporter permease YbhR
CAPPHCFD_00268	CDS	411	ybhQ			Inner membrane protein YbhQ
CAPPHCFD_00269	CDS	762				hypothetical protein
CAPPHCFD_00270	CDS	1242	clsB	2.7.8.-	COG1502	Cardiolipin synthase B
CAPPHCFD_00271	CDS	957	ybhN		COG0392	Inner membrane protein YbhN
CAPPHCFD_00272	CDS	714				hypothetical protein
CAPPHCFD_00273	CDS	705	ybhL		COG0670	Inner membrane protein YbhL
CAPPHCFD_00274	CDS	453	moaE	2.8.1.12	COG0314	Molybdopterin synthase catalytic subunit
CAPPHCFD_00275	CDS	246	moaD		COG1977	Molybdopterin synthase sulfur carrier subunit
CAPPHCFD_00276	CDS	486	moaC	4.6.1.17	COG0315	Cyclic pyranopterin monophosphate synthase
CAPPHCFD_00277	CDS	513	moaB		COG0521	Molybdenum cofactor biosynthesis protein B
CAPPHCFD_00278	CDS	990	moaA	4.1.99.22	COG2896	GTP 3',8-cyclase
CAPPHCFD_00279	CDS	909	ybhK		COG0391	Putative gluconeogenesis factor
CAPPHCFD_00280	CDS	2022	uvrB		COG0556	UvrABC system protein B
CAPPHCFD_00281	CDS	678	bioD1_1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
CAPPHCFD_00282	CDS	756	bioC	2.1.1.197	COG2226	Malonyl-[acyl-carrier protein] O-methyltransferase
CAPPHCFD_00283	CDS	1155	bioF	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase
CAPPHCFD_00284	CDS	1041	bioB	2.8.1.6	COG0502	Biotin synthase
CAPPHCFD_00285	CDS	1290	bioA	2.6.1.62	COG0161	Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
CAPPHCFD_00286	CDS	477				hypothetical protein
CAPPHCFD_00287	CDS	1146				hypothetical protein
CAPPHCFD_00288	CDS	903				hypothetical protein
CAPPHCFD_00289	CDS	1026				hypothetical protein
CAPPHCFD_00290	CDS	396				hypothetical protein
CAPPHCFD_00291	CDS	486				hypothetical protein
CAPPHCFD_00292	CDS	762				Anti-CBASS protein Acb1
CAPPHCFD_00293	CDS	1623				hypothetical protein
CAPPHCFD_00294	CDS	552				hypothetical protein
CAPPHCFD_00295	CDS	549				hypothetical protein
CAPPHCFD_00296	CDS	126				hypothetical protein
CAPPHCFD_00297	CDS	180				hypothetical protein
CAPPHCFD_00298	CDS	285				hypothetical protein
CAPPHCFD_00299	CDS	285				hypothetical protein
CAPPHCFD_00300	CDS	168				hypothetical protein
CAPPHCFD_00301	CDS	1071				hypothetical protein
CAPPHCFD_00302	CDS	1284	ybhC	3.1.2.-	COG4677	Putative acyl-CoA thioester hydrolase YbhC
CAPPHCFD_00303	CDS	2262				hypothetical protein
CAPPHCFD_00304	CDS	1434	ybhI		COG0471	Inner membrane protein YbhI
CAPPHCFD_00305	CDS	1053	ybhH	5.-.-.-	COG2828	Putative isomerase YbhH
CAPPHCFD_00306	CDS	954	oxyR_1		COG0583	DNA-binding transcriptional dual regulator OxyR
CAPPHCFD_00307	CDS	996	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
CAPPHCFD_00308	CDS	819	ybhA	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YbhA
CAPPHCFD_00309	CDS	1059				hypothetical protein
CAPPHCFD_00310	CDS	690	modB		COG4149	Molybdenum transport system permease protein ModB
CAPPHCFD_00311	CDS	774	modA		COG0725	Molybdate-binding protein ModA
CAPPHCFD_00312	CDS	150	acrZ			Multidrug efflux pump accessory protein AcrZ
CAPPHCFD_00313	CDS	789	modE		COG2005	DNA-binding transcriptional dual regulator ModE
CAPPHCFD_00314	CDS	1473	modF		COG1119	ABC transporter ATP-binding protein ModF
CAPPHCFD_00315	CDS	1017	galE	5.1.3.2	COG1087	UDP-glucose 4-epimerase
CAPPHCFD_00316	CDS	1047	galT	2.7.7.12	COG1085	Galactose-1-phosphate uridylyltransferase
CAPPHCFD_00317	CDS	1149	galK	2.7.1.6	COG0153	Galactokinase
CAPPHCFD_00318	CDS	1041	galM	5.1.3.3	COG2017	Aldose 1-epimerase
CAPPHCFD_00319	CDS	753	gpmA	5.4.2.11	COG0588	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
CAPPHCFD_00320	CDS	1053	aroG	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive
CAPPHCFD_00321	CDS	381				hypothetical protein
CAPPHCFD_00322	CDS	942	zitB		COG1230	Zinc transporter ZitB
CAPPHCFD_00323	CDS	720	pnuC		COG3201	Nicotinamide riboside transporter PnuC
CAPPHCFD_00324	CDS	1044	nadA	2.5.1.72	COG0379	Quinolinate synthase
CAPPHCFD_00325	CDS	966	yhbE		COG0697	putative inner membrane transporter YhbE
